run_key,series,campaign,suite,run_leaf,experiment_slug,predictor_name,dataset_name,tier_size,n_samples,model_kind,model_id,thinking_level,batch_size,phase,accuracy,f1_macro,duration_seconds,infer_time_s,has_predictions,predictions_source,saved_utc,run_dir,format
extended_evaluation_ml/20260430_105611/emb_umap_head_knn_banking-10_traintier5000_test200,extended_evaluation_ml,20260430_105611,emb_umap_head_knn_banking-10_traintier5000_test200,emb_umap_head_knn_banking-10_traintier5000_test200,emb_umap_head_knn_banking-10_traintier5000_test200,emb_umap_head,banking-10,200.0,,emb_umap_head,,,,full,0.935,0.934917202688645,,2.2443004000233486,True,csv,2026-04-30T10:59:16.646523+00:00,extended_evaluation_ml/20260430_105611/emb_umap_head_knn_banking-10_traintier5000_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_banking-10_bs10_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma4_31b_think_high_banking-10_bs10_trainseed10_test200,google_genai_gemma4_31b_think_high_banking-10_bs10_trainseed10_test200,google_genai_gemma4_31b_think_high_banking-10_bs10_trainseed10_test200,google_genai_batch:gemma-4-31b-it,banking-10,200.0,,google_genai_chat,gemma-4-31b-it,high,10.0,full,0.935,0.9342673992673992,,238.4002884000074,True,csv,2026-05-03T09:24:46.931324+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_banking-10_bs10_trainseed10_test200,harness_report
mvp4_results/ag_news/gemini-3.1-flash-lite-preview/train30,mvp4_results,,ag_news,gemini-3.1-flash-lite-preview_train30,mvp4,gemini-3.1-flash-lite-preview,ag_news,30.0,30.0,LLM,gemini-3.1-flash-lite-preview,,,final,0.9333,0.9329,68.18,68.18,True,legacy_csv,,mvp4_results/ag_news,mvp4_final_results
prompt_eng/20260519_092956/self_debate/self_debate_gemma4_31b_think_high_banking10_test200,prompt_eng,20260519_092956,self_debate,self_debate_gemma4_31b_think_high_banking10_test200,self_debate,self_debate:gemma-4-31b-it,banking-10,200.0,200.0,self_debate,gemma-4-31b-it,high,3.0,full,0.934010152284264,0.9328201537025066,2081.4070902001113,2080.058994300198,True,csv,2026-05-19T10:16:42.030985+00:00,prompt_eng/20260519_092956/self_debate/self_debate_gemma4_31b_think_high_banking10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_banking-10_bs3_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma4_31b_think_high_banking-10_bs3_trainseed10_test200,google_genai_gemma4_31b_think_high_banking-10_bs3_trainseed10_test200,google_genai_gemma4_31b_think_high_banking-10_bs3_trainseed10_test200,google_genai_batch:gemma-4-31b-it,banking-10,200.0,,google_genai_chat,gemma-4-31b-it,high,3.0,full,0.93,0.9296911760326395,,409.21711109997705,True,csv,2026-05-03T09:16:56.924194+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_banking-10_bs3_trainseed10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_high_banking-10_bs10_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemini31_flash_think_high_banking-10_bs10_trainseed10_test200,google_genai_gemini31_flash_think_high_banking-10_bs10_trainseed10_test200,google_genai_gemini31_flash_think_high_banking-10_bs10_trainseed10_test200,google_genai_batch:gemini-3.1-flash-lite-preview,banking-10,200.0,,google_genai_chat,gemini-3.1-flash-lite-preview,high,10.0,full,0.93,0.9296624926920177,,427.3030621999642,True,csv,2026-05-06T10:27:55.625240+00:00,evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_high_banking-10_bs10_trainseed10_test200,harness_report
hf_llms_comparison/20260425_102439/ag_news/gpt_oss_20b,hf_llms_comparison,20260425_102439,ag_news,gpt_oss_20b,hf_llms_comparison,gpt_oss_20b,ag_news,50.0,50.0,hf_openrouter,gpt_oss_20b,,,final,0.9,0.9272727272727272,,,True,legacy_long_csv,,hf_llms_comparison/20260425_102439,hf_llms_metrics_csv
evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_low_banking-10_bs5_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemini31_flash_think_low_banking-10_bs5_trainseed10_test200,google_genai_gemini31_flash_think_low_banking-10_bs5_trainseed10_test200,google_genai_gemini31_flash_think_low_banking-10_bs5_trainseed10_test200,google_genai_batch:gemini-3.1-flash-lite-preview,banking-10,200.0,,google_genai_chat,gemini-3.1-flash-lite-preview,low,5.0,full,0.925,0.9250018921746241,,118.79337059997488,True,csv,2026-05-03T09:44:36.493343+00:00,evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_low_banking-10_bs5_trainseed10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemma3_27b_banking-10_bs10_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma3_27b_banking-10_bs10_trainseed10_test200,google_genai_gemma3_27b_banking-10_bs10_trainseed10_test200,google_genai_gemma3_27b_banking-10_bs10_trainseed10_test200,google_genai_batch:gemma-3-27b-it,banking-10,200.0,,google_genai_chat,gemma-3-27b-it,off,10.0,full,0.925,0.9240789786252067,,85.50129009992816,True,csv,2026-05-03T09:38:02.005902+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma3_27b_banking-10_bs10_trainseed10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_banking-10_bs5_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma4_31b_think_high_banking-10_bs5_trainseed10_test200,google_genai_gemma4_31b_think_high_banking-10_bs5_trainseed10_test200,google_genai_gemma4_31b_think_high_banking-10_bs5_trainseed10_test200,google_genai_batch:gemma-4-31b-it,banking-10,200.0,,google_genai_chat,gemma-4-31b-it,high,5.0,full,0.925,0.9239127133029571,,229.91105290001724,True,csv,2026-05-03T09:20:47.699960+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_banking-10_bs5_trainseed10_test200,harness_report
extended_evaluation_llm/20260503_080828/gemma-4-31b-it_b5_banking-10_test200,extended_evaluation_llm,20260503_080828,gemma-4-31b-it_b5_banking-10_test200,gemma-4-31b-it_b5_banking-10_test200,gemma-4-31b-it_b5_banking-10_test200,google_openai_batch:gemma-4-31b-it,banking-10,200.0,,google_openai_chat,gemma-4-31b-it,,5.0,full,0.92,0.9202893096795537,,,True,csv,2026-05-03T08:08:28.713965+00:00,extended_evaluation_llm/20260503_080828/gemma-4-31b-it_b5_banking-10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_low_banking-10_bs10_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemini31_flash_think_low_banking-10_bs10_trainseed10_test200,google_genai_gemini31_flash_think_low_banking-10_bs10_trainseed10_test200,google_genai_gemini31_flash_think_low_banking-10_bs10_trainseed10_test200,google_genai_batch:gemini-3.1-flash-lite-preview,banking-10,200.0,,google_genai_chat,gemini-3.1-flash-lite-preview,low,10.0,full,0.92,0.9197068108043718,,45.94950480002444,True,csv,2026-05-03T09:45:22.993779+00:00,evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_low_banking-10_bs10_trainseed10_test200,harness_report
gepa_mipro/banking-10/eval/20260521_104331,gepa_mipro,20260521_104331,,20260521_104331,,,,200.0,200.0,,,,,preliminary,0.92,0.9194513476598187,,,True,json,,gepa_mipro/banking-10/eval/20260521_104331,metrics_json
prompt_eng/20260520_123316/self_debate/self_debate_gemini31_flash_think_low_tweet_eval_irony_test200,prompt_eng,20260520_123316,self_debate,self_debate_gemini31_flash_think_low_tweet_eval_irony_test200,self_debate,self_debate:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,200.0,self_debate,gemini-3.1-flash-lite-preview,low,3.0,full,0.9193548387096774,0.9173455784328248,446.2582507999614,444.94714990025386,True,csv,2026-05-20T12:44:20.934865+00:00,prompt_eng/20260520_123316/self_debate/self_debate_gemini31_flash_think_low_tweet_eval_irony_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemma3_27b_banking-10_bs5_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma3_27b_banking-10_bs5_trainseed10_test200,google_genai_gemma3_27b_banking-10_bs5_trainseed10_test200,google_genai_gemma3_27b_banking-10_bs5_trainseed10_test200,google_genai_batch:gemma-3-27b-it,banking-10,200.0,,google_genai_chat,gemma-3-27b-it,off,5.0,full,0.915,0.9140220570566573,,123.04589359997772,True,csv,2026-05-03T09:36:35.724547+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma3_27b_banking-10_bs5_trainseed10_test200,harness_report
evaluate_google_llm/20260519_083836/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs3_trainseed10_test200,evaluate_google_llm,20260519_083836,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs3_trainseed10_test200,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs3_trainseed10_test200,google,google_genai_batch:gemma-4-31b-it,tweet_eval_irony,200.0,,google_genai_chat,gemma-4-31b-it,high,3.0,full,0.915,0.9136507936507936,1427.683608200401,1426.000019799918,True,csv,2026-05-19T09:02:24.686507+00:00,evaluate_google_llm/20260519_083836/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs3_trainseed10_test200,harness_report
evaluate_google_llm/20260519_083836/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs5_trainseed10_test200,evaluate_google_llm,20260519_083836,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs5_trainseed10_test200,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs5_trainseed10_test200,google,google_genai_batch:gemma-4-31b-it,tweet_eval_irony,200.0,,google_genai_chat,gemma-4-31b-it,high,5.0,full,0.915,0.9134221181024165,590.4831878999248,589.512877699919,True,csv,2026-05-19T09:12:15.190076+00:00,evaluate_google_llm/20260519_083836/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs5_trainseed10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_high_tweet_eval_irony_bs5_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemini31_flash_think_high_tweet_eval_irony_bs5_trainseed10_test200,google_genai_gemini31_flash_think_high_tweet_eval_irony_bs5_trainseed10_test200,google_genai_gemini31_flash_think_high_tweet_eval_irony_bs5_trainseed10_test200,google_genai_batch:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,,google_genai_chat,gemini-3.1-flash-lite-preview,high,5.0,full,0.915,0.9131744937306877,,275.210331600043,True,csv,2026-05-04T07:22:00.763544+00:00,evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_high_tweet_eval_irony_bs5_trainseed10_test200,harness_report
prompt_eng/20260519_131817/self_debate/self_debate_gemma4_31b_think_high_tweet_eval_irony_test200,prompt_eng,20260519_131817,self_debate,self_debate_gemma4_31b_think_high_tweet_eval_irony_test200,self_debate,self_debate:gemma-4-31b-it,tweet_eval_irony,200.0,200.0,self_debate,gemma-4-31b-it,high,3.0,full,0.9137055837563451,0.912405513561583,697.643606999889,696.5989331998862,True,csv,2026-05-19T13:34:53.886404+00:00,prompt_eng/20260519_131817/self_debate/self_debate_gemma4_31b_think_high_tweet_eval_irony_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs3_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs3_trainseed10_test200,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs3_trainseed10_test200,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs3_trainseed10_test200,google_genai_batch:gemma-4-31b-it,tweet_eval_irony,200.0,,google_genai_chat,gemma-4-31b-it,high,3.0,full,0.91,0.9086850649350648,,253.4431074000895,True,csv,2026-05-03T21:39:18.709627+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs3_trainseed10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_high_tweet_eval_irony_bs3_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemini31_flash_think_high_tweet_eval_irony_bs3_trainseed10_test200,google_genai_gemini31_flash_think_high_tweet_eval_irony_bs3_trainseed10_test200,google_genai_gemini31_flash_think_high_tweet_eval_irony_bs3_trainseed10_test200,google_genai_batch:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,,google_genai_chat,gemini-3.1-flash-lite-preview,high,3.0,full,0.91,0.9082007343941249,,257.1333368999185,True,csv,2026-05-04T07:17:24.618054+00:00,evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_high_tweet_eval_irony_bs3_trainseed10_test200,harness_report
extended_evaluation_ml/20260430_105611/emb_umap_head_logreg_banking-10_traintier5000_test200,extended_evaluation_ml,20260430_105611,emb_umap_head_logreg_banking-10_traintier5000_test200,emb_umap_head_logreg_banking-10_traintier5000_test200,emb_umap_head_logreg_banking-10_traintier5000_test200,emb_umap_head,banking-10,200.0,,emb_umap_head,,,,full,0.905,0.9050093168372418,,2.342919599963352,True,csv,2026-04-30T10:58:56.241370+00:00,extended_evaluation_ml/20260430_105611/emb_umap_head_logreg_banking-10_traintier5000_test200,harness_report
extended_evaluation_ml/20260430_105611/setfit_banking-10_trainseed100_test200,extended_evaluation_ml,20260430_105611,setfit_banking-10_trainseed100_test200,setfit_banking-10_trainseed100_test200,setfit_banking-10_trainseed100_test200,setfit,banking-10,200.0,,setfit,,,,full,0.905,0.9045798316377714,,0.9282616999698803,True,csv,2026-04-30T11:07:30.776453+00:00,extended_evaluation_ml/20260430_105611/setfit_banking-10_trainseed100_test200,harness_report
hf_llms_comparison/20260425_102439/ag_news/mixtral_8x22b,hf_llms_comparison,20260425_102439,ag_news,mixtral_8x22b,hf_llms_comparison,mixtral_8x22b,ag_news,50.0,50.0,hf_openrouter,mixtral_8x22b,,,final,0.9,0.9045454545454544,,,True,legacy_long_csv,,hf_llms_comparison/20260425_102439,hf_llms_metrics_csv
evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs10_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs10_trainseed10_test200,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs10_trainseed10_test200,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs10_trainseed10_test200,google_genai_batch:gemma-4-31b-it,tweet_eval_irony,200.0,,google_genai_chat,gemma-4-31b-it,high,10.0,full,0.905,0.9034920634920636,,129.5791498000035,True,csv,2026-05-03T21:44:24.047852+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs10_trainseed10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs5_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs5_trainseed10_test200,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs5_trainseed10_test200,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs5_trainseed10_test200,google_genai_batch:gemma-4-31b-it,tweet_eval_irony,200.0,,google_genai_chat,gemma-4-31b-it,high,5.0,full,0.905,0.9034920634920636,,173.7098189999815,True,csv,2026-05-03T21:42:13.378424+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs5_trainseed10_test200,harness_report
prompt_eng/20260520_123316/multilabel_confusion_probe/multilabel_gemini31_flash_think_high_tweet_eval_irony_test200,prompt_eng,20260520_123316,multilabel_confusion_probe,multilabel_gemini31_flash_think_high_tweet_eval_irony_test200,multilabel_confusion_probe,multilabel_confusion_probe:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,200.0,multilabel_confusion_probe,gemini-3.1-flash-lite-preview,high,3.0,full,0.905,0.9029597282872392,258.60443360032514,257.52650139993057,True,csv,2026-05-20T12:48:39.552623+00:00,prompt_eng/20260520_123316/multilabel_confusion_probe/multilabel_gemini31_flash_think_high_tweet_eval_irony_test200,harness_report
baseline_performance/20260428_075211/gemini_tweet_irony_test200,baseline_performance,20260428_075211,gemini_tweet_irony_test200,gemini_tweet_irony_test200,gemini_tweet_irony_test200,google_openai_batch:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,,google_openai_chat,gemini-3.1-flash-lite-preview,,5.0,full,0.905,0.9029597282872392,,159.70254109997768,True,csv,2026-04-28T07:57:33.548545+00:00,baseline_performance/20260428_075211/gemini_tweet_irony_test200,harness_report
evaluate_google_llm/20260519_083836/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs10_trainseed10_test200,evaluate_google_llm,20260519_083836,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs10_trainseed10_test200,google_genai_gemma4_31b_think_high_tweet_eval_irony_bs10_trainseed10_test200,google,google_genai_batch:gemma-4-31b-it,tweet_eval_irony,200.0,,google_genai_chat,gemma-4-31b-it,high,10.0,full,0.9,0.898538961038961,245.7420606999658,244.82427190011367,True,csv,2026-05-19T09:16:20.949177+00:00,evaluate_google_llm/20260519_083836/google_genai_gemma4_31b_think_high_tweet_eval_irony_bs10_trainseed10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_high_tweet_eval_irony_bs10_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemini31_flash_think_high_tweet_eval_irony_bs10_trainseed10_test200,google_genai_gemini31_flash_think_high_tweet_eval_irony_bs10_trainseed10_test200,google_genai_gemini31_flash_think_high_tweet_eval_irony_bs10_trainseed10_test200,google_genai_batch:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,,google_genai_chat,gemini-3.1-flash-lite-preview,high,10.0,full,0.9,0.898538961038961,,111.31700039992575,True,csv,2026-05-04T07:23:53.022374+00:00,evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_high_tweet_eval_irony_bs10_trainseed10_test200,harness_report
mvp4_results/tweet_eval_sentiment/gemini-3.1-flash-lite-preview/train30,mvp4_results,,tweet_eval_sentiment,gemini-3.1-flash-lite-preview_train30,mvp4,gemini-3.1-flash-lite-preview,tweet_eval_sentiment,30.0,30.0,LLM,gemini-3.1-flash-lite-preview,,,final,0.9,0.8983,79.88,79.88,True,legacy_csv,,mvp4_results/tweet_eval_sentiment,mvp4_final_results
prompt_eng/20260520_123316/multilabel_confusion_probe/multilabel_gemini31_flash_think_low_tweet_eval_irony_test200,prompt_eng,20260520_123316,multilabel_confusion_probe,multilabel_gemini31_flash_think_low_tweet_eval_irony_test200,multilabel_confusion_probe,multilabel_confusion_probe:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,200.0,multilabel_confusion_probe,gemini-3.1-flash-lite-preview,low,3.0,full,0.9,0.8976982097186701,218.43098709965125,217.50853760028258,True,csv,2026-05-20T12:36:54.662530+00:00,prompt_eng/20260520_123316/multilabel_confusion_probe/multilabel_gemini31_flash_think_low_tweet_eval_irony_test200,harness_report
prompt_eng/20260520_123316/self_debate/self_debate_gemini31_flash_think_high_tweet_eval_irony_test200,prompt_eng,20260520_123316,self_debate,self_debate_gemini31_flash_think_high_tweet_eval_irony_test200,self_debate,self_debate:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,200.0,self_debate,gemini-3.1-flash-lite-preview,high,3.0,full,0.8994974874371859,0.8976126775056597,1491.3918867995963,1490.4135237997398,True,csv,2026-05-20T13:13:30.960956+00:00,prompt_eng/20260520_123316/self_debate/self_debate_gemini31_flash_think_high_tweet_eval_irony_test200,harness_report
prompt_eng/20260519_131817/multilabel_confusion_probe/multilabel_gemma4_31b_think_high_tweet_eval_irony_test200,prompt_eng,20260519_131817,multilabel_confusion_probe,multilabel_gemma4_31b_think_high_tweet_eval_irony_test200,multilabel_confusion_probe,multilabel_confusion_probe:gemma-4-31b-it,tweet_eval_irony,200.0,200.0,multilabel_confusion_probe,gemma-4-31b-it,high,3.0,full,0.895,0.8935927643079729,298.6868690000847,297.0203880001791,True,csv,2026-05-19T13:23:16.225497+00:00,prompt_eng/20260519_131817/multilabel_confusion_probe/multilabel_gemma4_31b_think_high_tweet_eval_irony_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_low_tweet_eval_irony_bs10_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemini31_flash_think_low_tweet_eval_irony_bs10_trainseed10_test200,google_genai_gemini31_flash_think_low_tweet_eval_irony_bs10_trainseed10_test200,google_genai_gemini31_flash_think_low_tweet_eval_irony_bs10_trainseed10_test200,google_genai_batch:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,,google_genai_chat,gemini-3.1-flash-lite-preview,low,10.0,full,0.895,0.8924152770306617,,73.20828780008014,True,csv,2026-05-04T07:13:06.659466+00:00,evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_low_tweet_eval_irony_bs10_trainseed10_test200,harness_report
mvp4_results/ag_news/setfit_MiniLM/train1000,mvp4_results,,ag_news,setfit_MiniLM_train1000,mvp4,setfit_MiniLM,ag_news,5000.0,5000.0,BERT,setfit_MiniLM,,,final,0.886,0.8857,1468.1599999999999,3.62,True,legacy_csv,,mvp4_results/ag_news,mvp4_final_results
evaluate_google_llm/20260503_091005/google_genai_gemma3_27b_tweet_eval_irony_bs10_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma3_27b_tweet_eval_irony_bs10_trainseed10_test200,google_genai_gemma3_27b_tweet_eval_irony_bs10_trainseed10_test200,google_genai_gemma3_27b_tweet_eval_irony_bs10_trainseed10_test200,google_genai_batch:gemma-3-27b-it,tweet_eval_irony,200.0,,google_genai_chat,gemma-3-27b-it,off,10.0,full,0.885,0.8828652186091518,,43.93348570005037,True,csv,2026-05-03T21:56:06.556155+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma3_27b_tweet_eval_irony_bs10_trainseed10_test200,harness_report
