dataset,model,batch_no,model_id,stage,error
tweet_sentiment,mixtral_8x22b,1,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4ca-6a3e7db4433f2e7e2e2c9a79;9d106d0e-175a-4dc5-9189-800b79547e55)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,1,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cb-38d4856128516e14021b6fa8;ae5b59a6-de2e-4443-9833-f531fc38a669)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,2,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cb-6d7a001659907b3925363955;c153611a-c5e2-43fc-81fe-4c4bf63347fa)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,2,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cb-2feb108818b8bf3e436f106f;59531e28-c87f-4fe8-a541-277d47a4d2a2)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,3,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cb-5376a50d0268fb6e5f48a7a2;01926079-4a7d-4686-ac8b-20edcf6d26d6)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,3,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cb-4300131a6513c43f65863bcc;de25fbb1-4026-46c2-af2a-95fd676e76fa)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,4,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cb-5adcedb2265e0cc81d4be5d7;658242d1-a6d5-4bb3-b445-bfdb3986fc6a)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,4,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cb-2615c2f95350540b3ae11c4e;5f985a64-fa36-412f-848e-51364257de09)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,5,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cc-28a3a13c13d3818419d3de04;500e5e8a-7e0d-4000-837a-3a40d0f96cf3)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,5,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cc-74de01d1029e6f12599b2bab;8a2c8c03-fa38-4650-9bab-5347ca06a340)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,6,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cc-0e5f604367c5bc7764d1abf3;2312a8d8-1feb-46c1-a4dc-b68f72847abe)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,6,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cc-264a34af7696b679558876b9;1a40e514-ad38-455c-ba82-1dcddae61ced)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,7,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cc-54579bf01053596f5c6c599a;aa7e01c2-5570-48a1-b768-81f86fffe53a)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,7,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cc-15799b425494025f1a0ca537;ee81fd89-f6d5-4881-b0ba-b5e12d237387)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,8,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cd-43e9b87601ae6bf838c09a76;a64f0d84-7daa-4505-9642-3cf300b58b74)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,8,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cd-49fccd3c5513613d4b938a76;094f67d6-0e9a-4ce2-8847-687c7a429e4d)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,9,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cd-3b45dbf074f58c3e65eae490;9fa3ad5b-f0d9-4577-a975-cec21d9be6e3)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,9,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cd-0d3f0752700bb8801a8f827f;0711f3ed-8062-4a4a-a9d9-5bb314023137)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,10,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cd-33ba61fc64e220ca36c14b25;89825ab1-12b9-44a6-a992-cb98c7aa8e32)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,10,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cd-1377109625697ca2555c5732;7a11a0cb-45d9-482c-adec-e50d0c9be19f)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,11,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cd-35ec948f2c8c8247350b5759;acc5dfb2-6139-471f-953b-f26a211b6651)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,11,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4ce-4be7510a2187bba7118eec39;aaaa080d-b224-465f-8d8b-34734e24f608)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,12,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4ce-129923c70d2ef19e2d755656;b429a746-47a0-450d-aec4-4c12d10ea379)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,12,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4ce-3167061a5fe84764056d0356;693ceddf-8268-42fc-9f73-fe84ac655de3)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,13,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4ce-4eced4936e05bee0453ae579;d83e3c5f-4912-4050-8586-ac72d6eb0ce5)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,13,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4ce-2eecf9352234d0f83a67750b;baef5af8-d4d1-48f0-90ae-cda0233ded3e)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,14,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4ce-21a39a976676707219956d34;ac979122-0266-4da7-978f-7370ffb22d2f)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,14,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4ce-1467e78d2c98e4f32b504941;1f239bfc-9751-4a99-848e-5a5940c088d8)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,15,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cf-0bba112178c7ca2a0a8b210f;fa148d0b-da1d-47f7-bd03-d040f32491ac)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,15,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cf-1659f5ac793c04e5767ef1ad;963fcbd4-9438-4830-94e3-3d23eafa58bf)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,16,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cf-6832a1905eb9209342cb7ac8;fbb460b0-61ee-4990-83ef-ab4c00f26a30)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,16,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/nscale/v1/chat/completions (Request ID: Root=1-69ebe4cf-519a31fa5ffc291463c69b90;4aecfa67-924c-4b8c-8f4c-aed3e729255d)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
