model_a,model_b,both_correct,a_only,b_only,both_wrong,disagreements,p_value_exact
multilabel_gemini31_flash_think_high_implicit_ha,setfit_implicit_hate_trainseed100_test200,97,48,23,22,71,0.004065116124638666
google_genai_gemma3_27b_implicit_hate_bs3_trains,svm_implicit_hate_test200,69,64,6,51,70,2.44272646814786e-13
google_genai_gemma3_4b_implicit_hate_bs10_trains,tfidf_xgb_implicit_hate_test200,67,48,20,55,68,0.0009143907212875585
google_genai_gemini31_flash_think_low_implicit_h,setfit_implicit_hate_trainseed100_test200,97,45,23,25,68,0.01033766119369546
emb_umap_head_xgb_implicit_hate_traintier5000_te,tfidf_xgb_implicit_hate_test200,66,46,21,57,67,0.0030653176696087397
setfit_implicit_hate_trainseed100_test200,tfidf_xgb_implicit_hate_test200,70,50,17,53,67,6.73797366691546e-05
google_genai_gemma3_4b_implicit_hate_bs3_trainse,svm_implicit_hate_test200,63,53,12,62,65,2.7862343424643344e-07
setfit_implicit_hate_trainseed100_test200,emb_umap_head_logreg_implicit_hate_traintier5000,65,55,10,60,65,1.1753602809018608e-08
google_genai_gemma3_27b_implicit_hate_bs10_train,emb_umap_head_logreg_implicit_hate_trainseed100_,80,60,5,45,65,4.869560700851427e-13
emb_umap_head_xgb_implicit_hate_traintier5000_te,emb_umap_head_logreg_implicit_hate_traintier5000,61,51,14,64,65,4.475224849487538e-06
google_genai_gemma3_4b_implicit_hate_bs5_trainse,tfidf_xgb_implicit_hate_test200,64,41,23,62,64,0.0327657590988232
google_genai_gemma3_27b_implicit_hate_bs5_trains,emb_umap_head_logreg_implicit_hate_trainseed100_,78,57,7,48,64,7.638141345540223e-11
emb_umap_head_knn_implicit_hate_traintier5000_te,tfidf_xgb_implicit_hate_test200,65,42,22,61,64,0.01685819004428113
emb_umap_head_knn_implicit_hate_traintier5000_te,emb_umap_head_logreg_implicit_hate_traintier5000,59,48,16,67,64,7.733076881287027e-05
google_genai_gemma4_31b_think_high_implicit_hate,google_genai_gemma3_27b_implicit_hate_bs3_trains,108,38,25,19,63,0.12991792302255253
google_genai_gemma3_27b_implicit_hate_bs3_trains,emb_umap_head_logreg_implicit_hate_trainseed100_,78,55,7,50,62,2.4300843108615577e-10
google_genai_gemma3_27b_implicit_hate_bs10_train,emb_umap_head_xgb_implicit_hate_trainseed100_tes,85,55,7,43,62,2.4300843108615577e-10
emb_umap_head_knn_implicit_hate_traintier5000_te,emb_umap_head_xgb_implicit_hate_trainseed100_tes,69,38,23,60,61,0.07217743850092258
google_genai_gemma3_27b_implicit_hate_bs10_train,emb_umap_head_knn_implicit_hate_traintier5000_te,93,47,14,36,61,2.7191876822818543e-05
google_genai_gemma3_27b_implicit_hate_bs5_trains,emb_umap_head_xgb_implicit_hate_trainseed100_tes,83,52,9,46,61,1.802802378388091e-08
google_genai_gemma3_4b_implicit_hate_bs10_trains,emb_umap_head_xgb_implicit_hate_traintier5000_te,84,31,28,47,59,0.794843653982861
google_genai_gemma3_27b_implicit_hate_bs3_trains,emb_umap_head_xgb_implicit_hate_trainseed100_tes,83,50,9,48,59,5.264832102225281e-08
google_genai_gemma3_4b_implicit_hate_bs3_trainse,emb_umap_head_knn_implicit_hate_traintier5000_te,82,34,25,49,59,0.2975952082844287
google_genai_gemma4_31b_think_high_implicit_hate,google_genai_gemma3_27b_implicit_hate_bs5_trains,111,35,24,20,59,0.19252645776146274
setfit_implicit_hate_trainseed100_test200,svm_implicit_hate_test200,68,52,7,63,59,1.3589917802203644e-09
google_genai_gemma3_4b_implicit_hate_bs3_trainse,emb_umap_head_logreg_implicit_hate_trainseed100_,71,45,14,60,59,6.530630444913366e-05
google_genai_gemma3_27b_implicit_hate_bs10_train,emb_umap_head_knn_implicit_hate_trainseed100_tes,89,51,7,43,58,2.4021645783633976e-09
google_genai_gemma3_4b_implicit_hate_bs3_trainse,emb_umap_head_xgb_implicit_hate_traintier5000_te,85,31,27,47,58,0.6940040940761318
google_genai_gemma3_4b_implicit_hate_bs10_trains,svm_implicit_hate_test200,66,49,9,66,58,8.959402428981857e-08
self_debate_gemini31_flash_think_high_implicit_h,google_genai_gemma3_27b_implicit_hate_bs3_trains,109,34,24,23,58,0.23704711476271959
google_genai_gemma4_31b_think_high_implicit_hate,google_genai_gemma3_27b_implicit_hate_bs10_train,114,32,26,18,58,0.5118423084381691
google_genai_gemma3_27b_implicit_hate_bs5_trains,emb_umap_head_knn_implicit_hate_traintier5000_te,92,43,15,40,58,0.000306947015546566
google_genai_gemma3_4b_implicit_hate_bs10_trains,emb_umap_head_xgb_implicit_hate_trainseed100_tes,75,40,17,58,57,0.0032015437674503813
emb_umap_head_xgb_implicit_hate_traintier5000_te,google_genai_gemma3_4b_implicit_hate_bs5_trainse,80,32,25,53,57,0.42704285650325524
setfit_implicit_hate_trainseed100_test200,google_genai_gemma3_4b_implicit_hate_bs5_trainse,84,36,21,49,57,0.06273668035582848
google_genai_gemma3_27b_implicit_hate_bs5_trains,emb_umap_head_knn_implicit_hate_trainseed100_tes,87,48,9,46,57,1.5201952291432616e-07
google_genai_gemini31_flash_think_high_implicit_,google_genai_gemma3_27b_implicit_hate_bs3_trains,110,34,23,23,57,0.18485048241641844
emb_umap_head_xgb_implicit_hate_traintier5000_te,svm_implicit_hate_test200,65,47,10,68,57,7.513043097095994e-07
google_genai_gemma3_4b_implicit_hate_bs10_trains,emb_umap_head_knn_implicit_hate_traintier5000_te,83,32,24,51,56,0.34968195298368476
google_genai_gemma3_4b_implicit_hate_bs3_trainse,emb_umap_head_knn_implicit_hate_trainseed100_tes,78,38,18,56,56,0.01045481832189218
emb_umap_head_knn_implicit_hate_traintier5000_te,svm_implicit_hate_test200,63,44,12,71,56,2.0876568218419767e-05
google_genai_gemma3_4b_implicit_hate_bs5_trainse,emb_umap_head_xgb_implicit_hate_trainseed100_tes,71,34,21,64,55,0.10478948242660333
emb_umap_head_xgb_implicit_hate_trainseed100_tes,tfidf_xgb_implicit_hate_test200,62,30,25,73,55,0.5900533317766354
google_genai_gemini31_flash_think_high_implicit_,google_genai_gemma3_27b_implicit_hate_bs5_trains,112,32,23,23,55,0.2806097176983541
setfit_implicit_hate_trainseed100_test200,google_genai_gemma3_4b_implicit_hate_bs10_trains,90,30,25,45,55,0.5900533317766354
google_genai_gemma3_27b_implicit_hate_bs3_trains,emb_umap_head_knn_implicit_hate_trainseed100_tes,87,46,9,48,55,4.336383137015787e-07
self_debate_gemini31_flash_think_high_implicit_h,google_genai_gemma3_27b_implicit_hate_bs5_trains,112,31,23,24,54,0.3408909412200971
multilabel_gemini31_flash_think_high_implicit_ha,google_genai_gemma3_27b_implicit_hate_bs3_trains,112,33,21,24,54,0.13367423536410522
google_genai_gemini31_flash_think_high_implicit_,google_genai_gemma3_27b_implicit_hate_bs10_train,115,29,25,21,54,0.6834892282353371
setfit_implicit_hate_trainseed100_test200,google_genai_gemma3_4b_implicit_hate_bs3_trainse,91,29,25,45,54,0.6834892282353371
setfit_implicit_hate_trainseed100_test200,emb_umap_head_xgb_implicit_hate_trainseed100_tes,79,41,13,57,54,0.00017512673440589485
google_genai_gemma3_4b_implicit_hate_bs10_trains,emb_umap_head_logreg_implicit_hate_trainseed100_,73,42,12,63,54,5.209447200793526e-05
google_genai_gemma3_4b_implicit_hate_bs5_trainse,emb_umap_head_logreg_implicit_hate_trainseed100_,68,37,17,68,54,0.009073340339587174
google_genai_gemma3_4b_implicit_hate_bs3_trainse,emb_umap_head_xgb_implicit_hate_trainseed100_tes,77,39,15,59,54,0.0014962588853935084
google_genai_gemma3_27b_implicit_hate_bs3_trains,emb_umap_head_knn_implicit_hate_traintier5000_te,93,40,14,43,54,0.0005354355028570622
self_debate_gemini31_flash_think_high_implicit_h,google_genai_gemma3_27b_implicit_hate_bs10_train,115,28,25,22,53,0.7838463022094988
setfit_implicit_hate_trainseed100_test200,emb_umap_head_logreg_implicit_hate_trainseed100_,76,44,9,61,53,1.220851017613711e-06
emb_umap_head_knn_implicit_hate_traintier5000_te,emb_umap_head_logreg_implicit_hate_trainseed100_,70,37,15,68,52,0.003185253447776759
emb_umap_head_xgb_implicit_hate_traintier5000_te,emb_umap_head_xgb_implicit_hate_trainseed100_tes,76,36,16,62,52,0.0077874363057435225
setfit_implicit_hate_trainseed100_test200,emb_umap_head_knn_implicit_hate_trainseed100_tes,82,38,14,56,52,0.0011951203200073481
emb_umap_head_knn_implicit_hate_traintier5000_te,google_genai_gemma3_4b_implicit_hate_bs5_trainse,80,27,25,58,52,0.8898839652765371
emb_umap_head_xgb_implicit_hate_traintier5000_te,emb_umap_head_logreg_implicit_hate_trainseed100_,73,39,12,66,51,0.0001980394513374506
google_genai_gemma3_4b_implicit_hate_bs5_trainse,svm_implicit_hate_test200,65,40,10,75,50,2.3861331676755526e-05
google_genai_gemma3_27b_implicit_hate_bs10_train,emb_umap_head_xgb_implicit_hate_traintier5000_te,101,39,11,39,50,9.021490107130603e-05
multilabel_gemini31_flash_think_high_implicit_ha,google_genai_gemma3_27b_implicit_hate_bs5_trains,115,30,20,25,50,0.20263875106454066
google_genai_gemma3_27b_implicit_hate_bs5_trains,setfit_implicit_hate_trainseed100_test200,103,32,17,38,49,0.04438416098714981
google_genai_gemma3_27b_implicit_hate_bs5_trains,emb_umap_head_xgb_implicit_hate_traintier5000_te,99,36,13,42,49,0.001402688503695515
google_genai_gemma3_27b_implicit_hate_bs3_trains,setfit_implicit_hate_trainseed100_test200,102,31,18,39,49,0.08543313315739454
multilabel_gemini31_flash_think_high_implicit_ha,google_genai_gemma3_27b_implicit_hate_bs10_train,118,27,22,23,49,0.5681724128491652
setfit_implicit_hate_trainseed100_test200,emb_umap_head_xgb_implicit_hate_traintier5000_te,92,28,20,50,48,0.31232680747326935
google_genai_gemma3_27b_implicit_hate_bs10_train,setfit_implicit_hate_trainseed100_test200,106,34,14,36,48,0.00551520148550111
tfidf_xgb_implicit_hate_test200,emb_umap_head_logreg_implicit_hate_traintier5000,57,30,18,85,48,0.11140289106101878
emb_umap_head_knn_implicit_hate_trainseed100_tes,tfidf_xgb_implicit_hate_test200,68,28,19,75,47,0.24296021728332556
google_genai_gemma3_4b_implicit_hate_bs10_trains,emb_umap_head_knn_implicit_hate_trainseed100_tes,82,33,14,61,47,0.007942726509483574
emb_umap_head_xgb_implicit_hate_trainseed100_tes,emb_umap_head_logreg_implicit_hate_traintier5000,60,32,15,83,47,0.018623836615006432
emb_umap_head_knn_implicit_hate_trainseed100_tes,emb_umap_head_logreg_implicit_hate_traintier5000,62,34,13,81,47,0.0030876764615186394
google_genai_gemini31_flash_think_low_implicit_h,google_genai_gemma3_27b_implicit_hate_bs3_trains,114,28,19,29,47,0.24296021728332556
google_genai_gemma3_27b_implicit_hate_bs3_trains,emb_umap_head_xgb_implicit_hate_traintier5000_te,99,34,13,44,47,0.0030876764615186394
google_genai_gemma3_27b_implicit_hate_bs10_train,google_genai_gemma3_4b_implicit_hate_bs5_trainse,99,41,6,44,47,1.7716986633331544e-07
setfit_implicit_hate_trainseed100_test200,emb_umap_head_knn_implicit_hate_traintier5000_te,90,30,17,53,47,0.07894069368148846
google_genai_gemma3_27b_implicit_hate_bs5_trains,google_genai_gemma3_4b_implicit_hate_bs5_trainse,97,38,8,47,46,9.24769992138863e-06
emb_umap_head_knn_implicit_hate_traintier5000_te,emb_umap_head_knn_implicit_hate_trainseed100_tes,79,28,17,66,45,0.1351564508456704
emb_umap_head_xgb_implicit_hate_traintier5000_te,emb_umap_head_knn_implicit_hate_trainseed100_tes,82,30,14,64,44,0.022628841205914796
tfidf_xgb_implicit_hate_test200,emb_umap_head_logreg_implicit_hate_trainseed100_,64,23,21,82,44,0.880395821280672
google_genai_gemma3_4b_implicit_hate_bs5_trainse,emb_umap_head_knn_implicit_hate_trainseed100_tes,79,26,17,68,43,0.2220528201560228
google_genai_gemini31_flash_think_low_implicit_h,google_genai_gemma3_27b_implicit_hate_bs5_trains,117,25,18,30,43,0.3603776529357674
google_genai_gemini31_flash_think_low_implicit_h,google_genai_gemma3_27b_implicit_hate_bs10_train,120,22,20,28,42,0.8776143287523154
emb_umap_head_logreg_implicit_hate_trainseed100_,emb_umap_head_logreg_implicit_hate_traintier5000,60,25,15,90,40,0.1538599441628321
google_genai_gemma3_27b_implicit_hate_bs3_trains,google_genai_gemma3_4b_implicit_hate_bs5_trainse,99,34,6,51,40,8.364584573428147e-06
google_genai_gemma3_27b_implicit_hate_bs5_trains,google_genai_gemma3_4b_implicit_hate_bs3_trainse,106,29,10,45,39,0.0033778479119064286
google_genai_gemma3_27b_implicit_hate_bs10_train,google_genai_gemma3_4b_implicit_hate_bs3_trainse,109,31,7,43,38,0.00011616700794547796
google_genai_gemma3_27b_implicit_hate_bs10_train,google_genai_gemma3_4b_implicit_hate_bs10_trains,109,31,6,44,37,4.12575900554657e-05
google_genai_gemma3_27b_implicit_hate_bs3_trains,google_genai_gemma3_4b_implicit_hate_bs3_trainse,106,27,10,47,37,0.007632078602910042
emb_umap_head_logreg_implicit_hate_traintier5000,svm_implicit_hate_test200,57,18,18,97,36,1.0
tfidf_xgb_implicit_hate_test200,svm_implicit_hate_test200,63,24,12,91,36,0.06524533522315325
emb_umap_head_xgb_implicit_hate_trainseed100_tes,svm_implicit_hate_test200,66,26,9,89,35,0.005988120567053557
google_genai_gemma3_27b_implicit_hate_bs5_trains,google_genai_gemma3_4b_implicit_hate_bs10_trains,108,27,7,48,34,0.0008213953115046024
google_genai_gemma3_4b_implicit_hate_bs3_trainse,google_genai_gemma3_4b_implicit_hate_bs5_trainse,95,21,10,64,31,0.07075554598122835
emb_umap_head_knn_implicit_hate_trainseed100_tes,emb_umap_head_xgb_implicit_hate_trainseed100_tes,79,17,13,81,30,0.5846647117286922
emb_umap_head_knn_implicit_hate_trainseed100_tes,svm_implicit_hate_test200,71,25,4,90,29,0.00010371580719947815
emb_umap_head_xgb_implicit_hate_traintier5000_te,emb_umap_head_knn_implicit_hate_traintier5000_te,95,17,12,66,29,0.45825831964612007
google_genai_gemma3_27b_implicit_hate_bs3_trains,google_genai_gemma3_4b_implicit_hate_bs10_trains,110,23,5,52,28,0.0009122341871261597
google_genai_gemma3_4b_implicit_hate_bs3_trainse,google_genai_gemma3_4b_implicit_hate_bs10_trains,102,14,13,61,27,1.0
emb_umap_head_logreg_implicit_hate_trainseed100_,svm_implicit_hate_test200,67,18,8,97,26,0.07551869750022888
emb_umap_head_knn_implicit_hate_trainseed100_tes,emb_umap_head_logreg_implicit_hate_trainseed100_,78,18,7,87,25,0.043285250663757324
emb_umap_head_xgb_implicit_hate_trainseed100_tes,emb_umap_head_logreg_implicit_hate_trainseed100_,77,15,8,90,23,0.21003961563110352
google_genai_gemma3_4b_implicit_hate_bs10_trains,google_genai_gemma3_4b_implicit_hate_bs5_trainse,100,15,5,70,20,0.04138946533203125
google_genai_gemini31_flash_think_low_implicit_h,google_genai_gemma4_31b_think_high_implicit_hate,134,8,12,36,20,0.5034446716308594
google_genai_gemma4_31b_think_high_implicit_hate,google_genai_gemini31_flash_think_high_implicit_,137,9,7,37,16,0.803619384765625
google_genai_gemini31_flash_think_low_implicit_h,self_debate_gemini31_flash_think_high_implicit_h,136,6,7,41,13,1.0
multilabel_gemini31_flash_think_high_implicit_ha,google_genai_gemma4_31b_think_high_implicit_hate,139,6,7,38,13,1.0
google_genai_gemma4_31b_think_high_implicit_hate,self_debate_gemini31_flash_think_high_implicit_h,138,8,5,39,13,0.5810546875
google_genai_gemini31_flash_think_low_implicit_h,google_genai_gemini31_flash_think_high_implicit_,137,5,7,41,12,0.7744140625
multilabel_gemini31_flash_think_high_implicit_ha,self_debate_gemini31_flash_think_high_implicit_h,139,6,4,41,10,0.75390625
